Cluster,RA,DEC,R_Sun,R_GC,Mass,rc,rhm,rt,rho_c,sig0,vesc,RV,pmra,pmdec,RPERI,RAPO,c,Porb
NGC_6352,261.37128,-48.42217,5.54,3.51,6.47E+04,1.12,4.56,33.58,2.93,3.5,13.5,-125.63,-2.158,-4.447,3.08,3.93,1.477,100.706
NGC_6355,260.99353,-26.35283,8.65,0.93,1.01E+05,0.21,3.55,14.02,4.88,5.5,22.1,-195.85,-4.738,-0.572,0.79,1.48,1.825,46.771
NGC_6356,260.89580,-17.81303,15.66,7.86,6E+05,1.48,6.86,93.23,3.52,8.8,33.4,48.18,-3.750,-3.392,3.53,8.97,1.799,221.509
IC_1257,261.78543,-7.09306,26.59,19.27,1.81E+04,1.16,5.54,65.92,2.28,1.7,6.6,-137.97,-1.007,-1.492,0.94,20.11,1.755,256.988
Ter_2,261.88792,-30.80233,7.75,0.74,1.36E+05,0.42,4.16,11.28,4.38,5.7,23.0,134.56,-2.170,-6.263,0.16,0.89,1.429,23.419
Ter_4,262.66251,-31.59553,7.59,0.82,2E+05,0.57,6.06,16.86,4.07,5.5,22.8,-48.96,-5.462,-3.711,0.19,0.86,1.471,28.035
HP_1,262.77167,-29.98167,7.00,1.26,1.24E+05,1.26,3.74,19.00,3.19,5.3,19.4,39.76,2.523,10.093,0.52,1.87,1.178,1963.626
FSR_1758,262.80000,-39.80800,11.09,3.46,6.28E+05,10.65,17.04,119.62,1.41,5.8,18.8,227.31,-2.881,2.519,3.63,13.27,1.050,225.955
NGC_6362,262.97910,-67.04833,7.65,5.20,1.27E+05,2.89,7.23,51.84,2.19,3.9,13.8,-14.58,-5.506,-4.763,2.65,5.24,1.254,135.576
NGC_6366,261.93436,-5.07986,3.44,5.23,3.76E+04,1.96,5.56,34.82,2.11,2.4,8.8,-120.65,-0.332,-5.160,2.21,5.71,1.250,122.505
Liller_1,263.35233,-33.38956,8.06,0.74,9.15E+05,0.19,2.01,36.89,6.05,21.8,89.5,60.36,-5.403,-7.431,0.09,0.86,2.288,20.925
NGC_6380,263.61861,-39.06953,9.61,2.15,3.34E+05,1.12,4.40,39.60,3.71,8.2,31.0,-1.48,-2.183,-3.233,0.30,2.10,1.548,33.552
Ter_1,263.94667,-30.48178,5.67,2.52,1.5E+05,0.32,2.15,32.33,4.78,8.1,32.2,56.75,-2.806,-4.861,0.59,2.68,2.004,61.485
Ton_2,264.03929,-38.54092,6.99,1.76,6.91E+04,1.16,4.60,22.41,2.87,3.4,13.6,-184.72,-5.904,-0.755,1.82,3.05,1.286,87.943
NGC_6388,264.07178,-44.73550,11.17,3.99,1.25E+06,0.42,4.34,100.55,5.34,17.4,70.2,83.11,-1.316,-2.709,1.15,4.07,2.379,55.763
NGC_6397,265.17538,-53.67434,2.48,6.01,9.66E+04,0.04,3.90,52.44,6.41,5.3,21.1,18.51,3.260,17.664,2.61,6.30,3.118,1178.836
NGC_6401,264.65219,-23.90960,8.06,0.75,1.45E+05,0.53,3.28,13.25,4.12,6.4,25.4,-105.44,-2.748,1.444,0.29,1.55,1.398,40.248
NGC_6402,264.40065,-3.24592,9.14,3.97,5.92E+05,2.16,5.14,73.09,3.26,9.9,34.8,-60.71,-3.590,-5.059,0.53,4.28,1.529,98.017
Pal_6,265.92581,-26.22499,7.05,1.19,9.45E+04,0.95,2.89,15.48,3.43,5.3,19.5,177.00,-9.222,-5.347,0.32,2.10,1.212,39.829
NGC_6426,266.22796,3.17014,20.71,14.45,7.17E+04,2.84,8.00,86.11,1.92,2.8,10.0,-210.51,-1.828,-2.999,3.64,16.97,1.482,405.934
Djor_1,266.86958,-33.06639,9.88,1.82,7.97E+04,0.97,5.57,24.37,3.08,3.6,14.3,-359.18,-4.693,-8.468,1.20,9.24,1.400,291.962
Ter_5,267.02020,-24.77906,6.62,1.65,9.35E+05,0.51,3.77,48.83,4.92,15.5,57.2,-82.57,-1.989,-5.243,0.25,1.63,1.981,45.951
NGC_6440,267.22017,-20.36042,8.25,1.23,4.89E+05,0.35,2.14,32.65,5.20,14.6,57.7,-69.39,-1.187,-4.020,0.22,1.26,1.970,24.775
NGC_6441,267.55441,-37.05145,12.73,4.78,1.32E+06,0.53,3.47,111.55,5.19,19.1,75.2,18.47,-2.551,-5.348,1.59,4.71,2.323,111.601
Ter_6,267.69325,-31.27539,7.27,0.97,1.04E+05,0.31,1.33,19.34,4.78,8.4,31.7,136.45,-4.979,-7.431,0.20,1.13,1.795,26.097
NGC_6453,267.71551,-34.59848,10.07,2.10,1.65E+05,0.10,3.85,30.58,5.75,7.2,29.2,-99.23,0.203,-5.934,0.48,2.58,2.485,68.969
UKS_1,268.61331,-24.14528,15.58,7.47,7.7E+04,1.10,3.84,47.13,3.09,4.2,15.7,59.38,-2.040,-2.754,0.47,7.76,1.632,168.881
VVV-CL001,268.67708,-24.01472,8.08,0.76,1.35E+05,0.54,2.94,18.29,4.09,6.4,25.4,-327.28,-3.487,-1.652,0.76,3.61,1.530,47.753
NGC_6496,269.76535,-44.26595,9.64,2.81,6.89E+04,2.54,6.42,28.78,2.09,3.0,10.4,-134.72,-3.060,-9.271,2.62,4.62,1.054,148.635
Ter_9,270.41167,-26.83972,5.77,2.46,1.2E+05,0.25,1.90,29.71,4.92,7.8,31.3,68.49,-2.121,-7.763,0.39,2.47,2.075,61.252
Djor_2,270.45438,-27.82582,8.76,0.80,1.25E+05,1.19,5.16,12.07,3.10,4.3,16.4,-149.75,0.662,-2.983,0.62,0.84,1.006,32.831
NGC_6517,270.46075,-8.95878,9.23,3.24,1.95E+05,0.13,2.29,43.38,5.68,9.9,40.7,-35.06,-1.551,-4.470,0.44,3.36,2.523,78.407
Ter_10,270.74083,-26.06694,10.21,2.17,3.02E+05,0.26,4.60,33.96,5.02,8.8,36.1,211.37,-6.827,-2.588,1.01,5.44,2.116,146.338
NGC_6522,270.89198,-30.03397,7.29,1.04,2.11E+05,0.42,3.08,23.28,4.56,8.2,32.5,-15.23,2.566,-6.438,0.45,1.31,1.744,49.632
NGC_6528,271.20670,-30.05578,7.83,0.70,5.67E+04,0.33,2.73,8.41,4.24,4.7,18.5,211.86,-2.157,-5.649,0.42,0.92,1.406,59.098
NGC_6535,270.96045,-0.29764,6.36,4.04,2.19E+04,0.08,3.65,25.75,4.97,2.7,11.0,-214.85,-4.214,-2.939,0.97,4.52,2.508,58.850
NGC_6539,271.20728,-7.58586,8.16,3.09,2.09E+05,1.52,5.18,45.41,3.19,5.9,22.1,35.19,-6.896,-3.537,2.11,3.41,1.475,96.706
NGC_6540,271.53566,-27.76529,5.91,2.34,3.45E+04,0.06,5.32,17.05,5.14,2.5,9.7,-16.50,-3.702,-2.791,1.07,2.32,2.454,61.017
NGC_6541,272.00983,-43.71489,7.61,2.19,2.93E+05,0.09,4.34,38.94,5.99,8.6,34.9,-163.97,0.287,-8.847,1.56,3.59,2.636,113.538
NGC_6544,271.83383,-24.99822,2.58,5.62,9.14E+04,0.16,2.07,48.64,5.34,7.0,29.0,-38.46,-2.304,18.604,0.60,5.54,2.483,1226.547
